,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
85,Chokurdakh,70.63,147.92,44.92,72,89,8.41,RU,1598832243
86,Pevek,69.7,170.31,40.28,77,12,7.94,RU,1598832197
87,Fairbanks,64.84,-147.72,66.2,39,20,11.41,US,1598832005
88,Carquefou,47.3,-1.49,53.6,93,0,3.36,FR,1598832421
89,Butaritari,3.07,172.79,83.19,71,11,10.47,KI,1598832192
90,Fukuechō,32.69,128.84,82.4,83,20,10.29,JP,1598832422
91,Narsaq,60.92,-46.05,48.2,61,100,4.7,GL,1598832247
92,College,64.86,-147.8,68.0,39,20,11.41,US,1598832238
93,Port Hardy,50.7,-127.42,53.6,100,90,8.05,CA,1598832047
94,Tomatlán,19.93,-105.25,76.15,96,96,4.7,MX,1598832224
95,Dongying,37.46,118.49,79.66,80,13,4.36,CN,1598832423
96,Port Elizabeth,-33.92,25.57,46.4,81,19,6.93,ZA,1598832213
97,Lebu,-37.62,-73.65,47.59,75,3,20.56,CL,1598832206
98,Chadan,51.28,91.58,49.26,70,0,2.98,RU,1598832423
99,Burnie,-41.07,145.92,53.01,49,7,10.0,AU,1598832424
100,Bredasdorp,-34.53,20.04,44.6,75,11,6.93,ZA,1598832188
101,Cayenne,4.93,-52.33,82.4,78,100,4.7,GF,1598832184
102,Kumul,42.8,93.45,67.59,25,0,10.38,CN,1598832425
103,Alice Springs,-23.7,133.88,62.6,42,0,12.75,AU,1598832148
104,Puerto Ayora,-0.74,-90.35,64.65,83,100,8.93,EC,1598832202
105,Cape Town,-33.93,18.42,48.0,81,20,12.75,ZA,1598832138
106,Cherskiy,68.75,161.3,40.98,82,100,4.65,RU,1598832210
107,Matagami,49.75,-77.63,55.4,66,75,5.5,CA,1598832153
108,Seredka,58.16,28.19,57.2,93,99,3.85,RU,1598832428
109,Shitanjing,39.23,106.34,60.78,54,0,4.61,CN,1598832428
110,Severo-Kuril'sk,50.68,156.12,52.41,80,16,15.68,RU,1598832215
111,Avarua,-21.21,-159.78,77.0,73,38,16.11,CK,1598832133
112,Olbia,40.92,9.49,69.8,68,40,12.75,IT,1598832429
113,Hofn,64.25,-15.21,51.49,89,98,14.56,IS,1598832272
114,Manzhouli,49.6,117.43,56.05,88,98,8.05,CN,1598832228
115,Marawi,8.0,124.29,78.01,78,100,8.99,PH,1598832223
116,Buraidah,26.33,43.98,87.8,19,0,6.93,SA,1598832402
117,Ajaigarh,24.9,80.27,76.08,88,15,5.68,IN,1598832430
118,Mbengwi,6.02,10.0,64.36,93,100,2.82,CM,1598832430
119,Esperance,-33.87,121.9,42.8,93,0,12.75,AU,1598832201
120,Powell River,49.85,-124.54,57.2,82,90,3.36,CA,1598832430
121,Alofi,-19.06,-169.92,80.6,65,75,13.87,NU,1598832202
122,Yining,29.04,114.56,79.97,74,41,1.19,CN,1598832431
123,Santa Isabel Rio Negro,-0.41,-65.02,75.07,82,100,1.68,BR,1598832431
124,Poum,-20.23,164.02,69.66,66,1,5.03,NC,1598832432
125,Soria,41.67,-2.67,45.0,81,4,2.68,ES,1598832432
