,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
369,Abéché,13.83,20.83,75.51,77,60,5.73,TD,1598832492
370,Katobu,-4.94,122.53,81.93,66,38,8.28,ID,1598832492
371,Paulo Afonso,-9.41,-38.21,70.45,79,1,9.1,BR,1598832493
372,Ukiah,39.15,-123.21,96.8,23,1,5.82,US,1598832002
373,Evanston,42.04,-87.69,73.4,53,1,8.05,US,1598832213
374,Kaitangata,-46.28,169.85,59.94,46,97,14.27,NZ,1598832268
375,Arlit,18.74,7.39,88.0,42,88,4.9,NE,1598832493
376,Toamasina,-18.17,49.38,68.0,94,75,8.01,MG,1598832494
377,Myitkyina,25.38,97.4,75.7,95,98,1.32,MM,1598832494
378,Caconda,-13.73,15.07,60.67,51,76,0.94,AO,1598832494
379,Yaan,7.38,8.57,72.09,95,79,6.71,NG,1598832494
380,Yumen,40.28,97.2,58.42,35,9,3.42,CN,1598832495
381,Kaeo,-35.1,173.78,64.99,3,9,1.01,NZ,1598832495
382,Agüimes,27.91,-15.45,71.6,68,20,20.8,ES,1598832495
383,Pergamino,-33.89,-60.57,50.0,48,10,1.01,AR,1598832325
384,Callaguip,18.07,120.49,78.8,94,40,3.36,PH,1598832496
385,Beira,-19.84,34.84,75.2,94,75,6.93,MZ,1598832496
386,Uzhur,55.3,89.83,51.48,93,36,2.28,RU,1598832498
387,Egvekinot,66.32,-179.17,42.93,71,62,23.06,RU,1598832250
388,Dullewala,31.84,71.44,88.93,53,1,11.1,PK,1598832499
389,Lagunas,-5.23,-75.68,81.82,63,67,2.24,PE,1598832499
390,Akropong,5.97,-0.09,77.0,88,75,12.75,GH,1598832499
391,Emerald,-23.53,148.17,71.01,64,0,8.05,AU,1598832499
392,Natchitoches,31.77,-93.13,93.2,56,1,4.68,US,1598832500
393,Marystown,47.17,-55.15,64.99,100,99,3.0,CA,1598832500
394,Mount Isa,-20.73,139.5,80.6,22,0,10.29,AU,1598832204
395,Chara,56.91,118.26,57.24,64,58,1.25,RU,1598832500
396,Santa Clarita,34.39,-118.54,90.0,30,0,1.01,US,1598832502
397,Várzea da Palma,-17.6,-44.73,73.58,42,76,4.45,BR,1598832502
398,Vysotsk,60.63,28.57,57.0,93,90,13.87,RU,1598832502
399,Ribeira Grande,38.52,-28.7,74.88,94,50,6.93,PT,1598832231
400,Codrington,-38.27,141.97,49.82,66,64,10.63,AU,1598832190
401,Izhma,65.01,53.91,51.57,94,98,8.14,RU,1598832503
402,Balkhash,46.84,74.98,66.52,50,0,17.34,KZ,1598832503
403,Tarko-Sale,64.92,77.78,46.0,92,38,7.94,RU,1598832504
404,Kingaroy,-26.53,151.83,70.0,67,0,5.82,AU,1598832504
405,Coahuayana Viejo,18.73,-103.68,69.8,94,90,11.41,MX,1598832505
406,Havre-St-Pierre,50.23,-63.6,48.2,87,90,13.87,CA,1598832270
407,Tubualá,9.52,-79.03,82.0,78,40,6.93,PA,1598832505
408,Norman Wells,65.28,-126.83,66.2,42,75,13.87,CA,1598832236
409,Talcahuano,-36.72,-73.12,51.8,71,0,9.17,CL,1598832311
410,León,21.12,-101.67,77.0,50,75,5.28,MX,1598832498
411,Tymovskoye,50.85,142.66,58.59,61,30,6.26,RU,1598832508
412,Cumberland,35.05,-78.87,86.0,62,1,3.36,US,1598832508
413,Kantilo,20.35,85.18,82.4,94,20,3.36,IN,1598832508
414,Dolores,-36.31,-57.68,43.11,64,0,7.67,AR,1598832509
415,Longhua,23.61,114.19,84.13,70,72,1.1,CN,1598832509
416,Back Mountain,41.34,-76.0,68.0,85,46,1.01,US,1598832478
417,Jinchang,38.5,102.17,64.51,49,39,5.97,CN,1598832509
418,Okoneshnikovo,54.84,75.08,62.24,85,3,2.95,RU,1598832510
419,Agirish,61.92,63.02,53.62,98,64,6.73,RU,1598832510
420,Yangambi,0.81,24.43,68.58,97,3,0.31,CD,1598832510
421,Chapais,49.78,-74.85,53.6,62,75,4.7,CA,1598832250
422,Lac du Bonnet,50.25,-96.06,61.0,99,100,3.0,CA,1598832510
423,Cattolica,43.96,12.74,73.0,73,84,5.82,IT,1598832511
424,Eyl,7.98,49.82,78.96,66,99,19.55,SO,1598832511
425,Kailua,21.4,-157.74,89.6,62,40,17.22,US,1598832511
426,Araranguá,-28.93,-49.49,59.22,92,100,6.42,BR,1598832512
427,Sambava,-14.27,50.17,71.46,85,71,11.05,MG,1598832195
428,Lima,-12.04,-77.03,60.8,82,90,8.05,PE,1598832081
429,Da Lat,11.95,108.44,64.22,95,88,1.14,VN,1598832512
430,Lastoursville,-0.81,12.73,72.59,92,100,2.91,GA,1598832512
431,Asău,46.43,26.4,66.0,76,0,5.14,RO,1598832204
432,Nālūt,30.33,10.85,85.12,17,0,14.25,LY,1598832513
433,Cavalcante,-13.8,-47.46,74.26,36,7,5.06,BR,1598832513
434,Hargeisa,9.56,44.06,72.3,56,84,22.73,SO,1598832513
435,Secunda,-26.55,29.17,46.99,90,17,5.99,ZA,1598832497
436,Ţahţā,26.77,31.5,86.0,20,0,9.17,EG,1598832257
437,Isangel,-19.55,169.27,73.4,78,90,9.17,VU,1598832516
438,Ada,43.42,-116.13,79.0,15,1,17.22,US,1598832516
439,Perth,-31.93,115.83,55.99,70,0,5.82,AU,1598832462
440,Taltal,-25.4,-70.48,56.07,77,100,3.83,CL,1598832267
441,Nautla,20.22,-96.78,86.22,77,85,15.23,MX,1598832517
442,Fort Nelson,58.81,-122.7,62.6,48,75,4.7,CA,1598832067
443,Doha,25.29,51.53,93.2,75,19,4.7,QA,1598832518
444,Mīzan Teferī,6.98,35.58,62.04,88,100,1.9,ET,1598832518
445,Lagoa,39.05,-27.98,73.96,94,52,9.06,PT,1598832284
446,Byron Bay,-28.65,153.62,70.0,63,1,8.05,AU,1598832498
447,Arrondissement d'Arcachon,44.59,-1.05,55.4,87,20,2.48,FR,1598832519
448,Otjimbingwe,-22.35,16.13,49.46,42,0,6.38,NA,1598832519
449,Dārāb,28.75,54.54,73.17,20,0,9.69,IR,1598832519
450,Ust-Maya,60.42,134.53,54.05,82,100,4.21,RU,1598832520
451,Carballo,43.21,-8.69,53.6,87,4,3.36,ES,1598832520
452,Danilov,58.19,40.17,60.8,100,90,4.47,RU,1598832522
453,Springbok,-29.66,17.89,36.32,73,2,5.21,ZA,1598832522
454,Gorontalo,0.54,123.06,83.43,69,77,5.28,ID,1598832325
455,Tondano,1.3,124.91,80.6,83,20,2.24,ID,1598832522
456,Grand Gaube,-20.01,57.66,70.0,81,3,5.99,MU,1598832241
457,Prince Rupert,54.32,-130.32,55.4,93,90,8.05,CA,1598832523
458,Samarai,-10.62,150.67,79.12,87,67,20.18,PG,1598832220
459,Aitape,-3.14,142.35,84.61,67,89,3.67,PG,1598832523
460,Kongolo,-5.38,27.0,74.19,82,63,4.29,CD,1598832523
461,Tupanciretã,-29.08,-53.84,50.95,96,98,14.9,BR,1598832524
462,Camopi,3.17,-52.32,75.88,87,23,4.7,GF,1598832524
463,Lovozero,68.0,35.01,41.47,83,60,4.03,RU,1598832207
464,Saint-François,46.42,3.91,57.2,93,90,2.24,FR,1598832524
465,Evensk,61.95,159.23,55.42,46,2,1.59,RU,1598832524
466,Port Lincoln,-34.73,135.87,53.38,55,95,3.2,AU,1598832525
467,Palāsa,18.77,84.42,81.61,79,100,3.85,IN,1598832489
468,Orchard Homes,46.86,-114.05,73.4,13,1,11.41,US,1598832525
469,Martigues,43.4,5.05,66.2,55,31,20.8,FR,1598832324
470,Nezhinka,51.77,55.37,64.4,72,29,13.42,RU,1598832526
471,Henties Bay,-22.12,14.28,50.0,83,0,7.61,NA,1598832526
472,Corumbá,-19.01,-57.65,84.4,25,0,3.56,BR,1598832527
473,Kikwit,-5.04,18.82,77.63,72,75,0.11,CD,1598832527
474,Atasū,48.68,71.64,62.42,49,0,8.28,KZ,1598832527
475,Olinda,-8.01,-34.86,75.2,88,40,5.82,BR,1598832296
476,Mānvi,15.98,77.05,74.34,85,15,6.49,IN,1598832528
477,Niquero,20.04,-77.58,81.93,80,33,2.13,CU,1598832528
478,Kamenka,51.32,42.77,62.35,56,0,6.42,RU,1598832214
479,Borisoglebskiy,57.26,39.15,60.8,100,90,4.47,RU,1598832529
480,Constitución,-35.33,-72.42,47.62,75,0,6.71,CL,1598832264
481,Balaipungut,1.05,101.28,75.2,94,40,3.04,ID,1598832240
482,Resistencia,-27.46,-58.98,59.0,82,100,10.29,AR,1598832530
483,Zabul Province,32.25,67.25,61.41,28,0,2.24,AF,1598832530
484,Mercedes,-34.65,-59.43,46.99,81,27,4.59,AR,1598832531
485,Copiapó,-27.37,-70.33,53.6,81,100,8.05,CL,1598832335
486,Kashan,33.98,51.44,70.18,26,0,5.79,IR,1598832531
487,Ugoofaaru,5.67,73.0,82.67,71,32,8.48,MV,1598832287
488,Berlevåg,70.86,29.09,45.59,74,6,12.26,NO,1598832213
489,San Patricio,19.22,-104.7,80.6,88,90,11.41,MX,1598832270
490,Eilat,29.56,34.95,91.4,59,0,9.17,IL,1598832532
491,Peniche,39.36,-9.38,61.0,82,48,1.01,PT,1598832532
492,Coquimbo,-29.95,-71.34,53.6,81,3,9.17,CL,1598832334
493,Portland,45.52,-122.68,79.0,38,40,10.29,US,1598831884
494,Leiyang,26.4,112.86,80.56,72,0,3.24,CN,1598832534
495,Nelson Bay,-32.72,152.15,69.01,49,5,23.04,AU,1598832260
496,Walvis Bay,-22.96,14.51,50.0,75,0,5.82,NA,1598832247
497,Guarapari,-20.67,-40.5,77.0,94,1,5.82,BR,1598832535
498,Tigil',57.8,158.67,57.24,61,56,11.54,RU,1598832535
499,Banda Aceh,5.56,95.32,80.01,78,77,9.15,ID,1598832535
500,Husavik,66.04,-17.34,53.6,76,90,9.17,IS,1598832187
501,Adrar,20.5,-10.07,89.92,15,64,13.15,MR,1598832235
502,Halifax,44.65,-63.57,64.0,71,28,1.99,CA,1598832378
503,Klaksvík,62.23,-6.59,50.0,93,94,10.29,FO,1598832220
504,Dauphin,51.15,-100.05,62.6,63,1,6.93,CA,1598832537
505,Mahibadhoo,3.78,72.97,83.21,65,89,5.91,MV,1598832538
506,Moerai,-22.43,-151.33,69.73,80,40,17.58,PF,1598832538
507,Atar,20.52,-13.05,90.52,18,16,6.4,MR,1598832238
508,Pirgos,35.12,25.72,79.0,52,0,7.0,GR,1598832538
509,Alugan,12.22,125.48,81.82,82,97,6.35,PH,1598832296
510,Port-Gentil,-0.72,8.78,75.2,88,40,15.43,GA,1598832539
511,Mwene-Ditu,-7.0,23.45,71.1,71,11,3.69,CD,1598832539
512,Ahmednagar,19.08,74.73,70.12,91,51,9.4,IN,1598832539
513,Lat Yao,15.75,99.79,79.18,86,100,3.96,TH,1598832539
514,Inuvik,68.35,-133.72,50.0,71,90,3.36,CA,1598832540
515,Bowen,-20.02,148.23,73.4,64,1,10.29,AU,1598832294
516,Kirakira,-10.45,161.92,85.82,66,100,10.96,SB,1598832540
517,Shingū,33.73,135.98,82.4,78,40,2.24,JP,1598832201
518,Beeville,28.4,-97.75,93.2,67,1,13.87,US,1598832540
519,Pizarro,4.95,-77.37,77.83,81,65,6.31,CO,1598832541
520,Salalah,17.02,54.09,77.0,94,90,4.7,OM,1598832541
521,Dwārka,22.24,68.97,81.54,82,100,17.72,IN,1598832289
522,Bariloche,-41.15,-71.31,39.2,69,27,4.7,AR,1598832541
523,Tucuruí,-3.77,-49.67,81.09,58,35,2.35,BR,1598832283
524,Gambēla,8.25,34.58,71.47,88,99,2.48,ET,1598832542
525,Kiryat Gat,31.61,34.76,81.0,81,0,0.87,IL,1598832218
526,Mizdah,31.45,12.98,72.84,51,0,8.03,LY,1598832224
527,Bitung,1.45,125.18,80.6,83,20,2.24,ID,1598832542
528,Vitim,59.45,112.56,57.88,78,62,1.66,RU,1598832543
529,Markdale,44.32,-80.65,62.01,85,17,5.5,CA,1598832543
530,Bagdarin,54.43,113.6,53.76,82,76,1.54,RU,1598832543
531,Iāwar,23.0,76.5,70.56,94,11,11.27,IN,1598832543
532,Snezhnogorsk,69.19,33.25,35.6,100,92,2.24,RU,1598832544
533,Ghanzi,-21.57,21.78,45.99,48,0,9.42,BW,1598832544
534,Pimentel,-6.84,-79.93,61.29,86,93,14.0,PE,1598832544
535,Nīmāj,26.15,74.0,76.51,90,90,7.96,IN,1598832544
536,Dutlwe,-23.98,23.9,41.38,52,0,10.63,BW,1598832545
537,Djebeniana,35.03,10.91,84.2,70,0,4.74,TN,1598832545
538,Sangar,63.92,127.47,52.81,78,94,4.43,RU,1598832545
539,Opuwo,-18.06,13.84,50.38,45,0,1.81,NA,1598832546
540,Xining,36.62,101.77,50.59,75,43,1.9,CN,1598832546
541,Chengde,40.97,117.94,70.84,84,80,2.44,CN,1598832546
542,Kulhudhuffushi,6.62,73.07,82.35,73,38,9.13,MV,1598832286
543,Los Llanos de Aridane,28.66,-17.92,73.4,60,20,12.75,ES,1598832294
544,Talaya,61.38,152.75,51.51,46,0,1.92,RU,1598832547
545,Kushmurun,52.45,64.63,67.95,48,15,5.44,KZ,1598832547
546,Bārmer,25.75,71.38,76.44,91,100,11.95,IN,1598832548
547,Jumla,29.27,82.18,62.47,70,92,1.68,NP,1598832548
548,Teeli,51.03,90.23,48.18,69,0,1.14,RU,1598832548
549,Yakeshi,49.28,120.73,53.33,96,100,13.44,CN,1598832548
550,Guerrero Negro,27.98,-114.06,78.31,66,1,14.9,MX,1598832237
551,Ahipara,-35.17,173.17,60.39,66,2,5.48,NZ,1598832196
552,Gaza,31.5,34.47,82.4,78,20,4.7,PS,1598832549
553,Renfrew,55.87,-4.39,53.6,81,82,2.24,GB,1598832549
554,Caluquembe,-13.78,14.68,57.6,65,43,0.85,AO,1598832549
555,Lebyazh'ye,55.27,66.49,66.06,62,93,9.01,RU,1598832550
556,Ambon City,-3.7,128.18,79.95,84,98,13.67,ID,1598832550
557,Deer Lake,49.17,-57.43,55.4,93,90,11.41,CA,1598832312
558,Sassandra,4.95,-6.08,74.26,87,97,7.7,CI,1598832551
559,Zatoka,46.07,30.47,64.4,93,0,4.18,UA,1598832551
560,Minsk,53.9,27.57,64.4,100,40,8.95,BY,1598832548
561,Ketchikan,55.34,-131.65,55.4,100,90,13.87,US,1598832198
562,Itacaré,-14.28,-39.0,72.91,87,0,5.23,BR,1598832552
563,Port Macquarie,-31.43,152.92,75.0,40,0,1.99,AU,1598832552
564,Wanlaweyn,2.62,44.89,75.6,83,15,13.02,SO,1598832552
565,Pasaje,-3.33,-79.82,70.74,81,77,2.86,EC,1598832553
566,Chalāla,21.42,71.17,75.4,91,100,13.96,IN,1598832553
567,Kodīnar,20.79,70.7,79.0,87,100,12.91,IN,1598832554
568,Iracoubo,5.48,-53.2,80.67,81,57,14.09,GF,1598832554
569,Moranbah,-22.0,148.05,70.83,46,0,12.12,AU,1598832288
570,Thinadhoo,0.53,72.93,82.65,71,99,7.9,MV,1598832555
571,St. George's,12.06,-61.75,80.6,94,75,4.25,GD,1598832555
572,Wembley,-31.93,115.8,53.01,70,0,5.82,AU,1598832117
573,Tocopilla,-22.09,-70.2,59.58,69,100,5.48,CL,1598832556
574,Sarana,56.48,57.73,54.84,93,100,4.63,RU,1598832556
